# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=11.6 Mm, apex_T=2.00 MK, footpoint |B|=335.8 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=414
g_si=274.0
B_outer_T=3.358000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=1.161800e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  3.358000e-02  3.358000e-02  0.000000e+00  3.013999e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  3.358000e-02  3.358000e-02  3.013999e+06  6.027991e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  3.358000e-02  3.358000e-02  6.027991e+06  9.041970e+06  2.014896e+17  2.205587e+19  6.310345e+03
3  1.100000e+04  3.358000e-02  3.358000e-02  9.041970e+06  1.205593e+07  2.041151e+17  2.047442e+19  6.339469e+03
4  1.100000e+04  3.358000e-02  3.358000e-02  1.205593e+07  1.506986e+07  2.064484e+17  1.895111e+19  6.367802e+03
5  1.100000e+04  3.358000e-02  3.358000e-02  1.506986e+07  1.808376e+07  2.087817e+17  1.742782e+19  6.396135e+03
6  1.100000e+04  3.358000e-02  3.358000e-02  1.808376e+07  2.109762e+07  2.094430e+17  1.621206e+19  6.419525e+03
7  1.100000e+04  3.358000e-02  3.358000e-02  2.109762e+07  2.411143e+07  2.098402e+17  1.504490e+19  6.442135e+03
8  1.100000e+04  3.358000e-02  3.358000e-02  2.411143e+07  2.712519e+07  2.102374e+17  1.387776e+19  6.464745e+03
9  1.100000e+04  3.358000e-02  3.358000e-02  2.712519e+07  3.013889e+07  2.087140e+17  1.288801e+19  6.482817e+03
10  1.100000e+04  3.358000e-02  3.358000e-02  3.013889e+07  3.315252e+07  2.058596e+17  1.202120e+19  6.497744e+03
11  1.100000e+04  3.358000e-02  3.358000e-02  3.315252e+07  3.616608e+07  2.030052e+17  1.115441e+19  6.512670e+03
12  1.100000e+04  3.358000e-02  3.358000e-02  3.616608e+07  3.917956e+07  2.001509e+17  1.028765e+19  6.527596e+03
13  1.100000e+04  3.358000e-02  3.358000e-02  3.917956e+07  4.219295e+07  1.966899e+17  9.639431e+18  6.536381e+03
14  1.100000e+04  3.358000e-02  3.358000e-02  4.219295e+07  4.520625e+07  1.930499e+17  9.055783e+18  6.543351e+03
15  1.100000e+04  3.358000e-02  3.358000e-02  4.520625e+07  4.821945e+07  1.894099e+17  8.472153e+18  6.550321e+03
16  1.100000e+04  3.358000e-02  3.358000e-02  4.821945e+07  5.123254e+07  1.857701e+17  7.888544e+18  6.557291e+03
17  1.100000e+04  3.358000e-02  3.358000e-02  5.123254e+07  5.424552e+07  1.821304e+17  7.304956e+18  6.564261e+03
18  1.100000e+04  3.358000e-02  3.358000e-02  5.424552e+07  5.725838e+07  1.784909e+17  6.721391e+18  6.571230e+03
19  1.100000e+04  3.358000e-02  3.358000e-02  5.725838e+07  6.027111e+07  1.748937e+17  6.212554e+18  6.576898e+03
20  1.100000e+04  3.358000e-02  3.358000e-02  6.027111e+07  6.328371e+07  1.713882e+17  5.865755e+18  6.579744e+03
21  1.100000e+04  3.358000e-02  3.358000e-02  6.328371e+07  6.629617e+07  1.678828e+17  5.518971e+18  6.582590e+03
22  1.100000e+04  3.358000e-02  3.358000e-02  6.629617e+07  6.930848e+07  1.643777e+17  5.172204e+18  6.585435e+03
23  1.100000e+04  3.358000e-02  3.358000e-02  6.930848e+07  7.232064e+07  1.608727e+17  4.825454e+18  6.588280e+03
24  1.100000e+04  3.358000e-02  3.358000e-02  7.232064e+07  7.533264e+07  1.573678e+17  4.478722e+18  6.591126e+03
25  1.100000e+04  3.358000e-02  3.358000e-02  7.533264e+07  7.834447e+07  1.538632e+17  4.132009e+18  6.593971e+03
26  1.100000e+04  3.358000e-02  3.358000e-02  7.834447e+07  8.135613e+07  1.503588e+17  3.785315e+18  6.596816e+03
27  1.100000e+04  3.358000e-02  3.358000e-02  8.135613e+07  8.436761e+07  1.485695e+17  3.526879e+18  6.598778e+03
28  1.100000e+04  3.358000e-02  3.358000e-02  8.436761e+07  8.737890e+07  1.480033e+17  3.331382e+18  6.600110e+03
29  1.100000e+04  3.358000e-02  3.358000e-02  8.737890e+07  9.039000e+07  1.474372e+17  3.135897e+18  6.601442e+03
30  1.100000e+04  3.358000e-02  3.358000e-02  9.039000e+07  9.340090e+07  1.468711e+17  2.940425e+18  6.602774e+03
31  1.100000e+04  3.358000e-02  3.358000e-02  9.340090e+07  9.641160e+07  1.463050e+17  2.744966e+18  6.604106e+03
32  1.100000e+04  3.358000e-02  3.358000e-02  9.641160e+07  9.942208e+07  1.457390e+17  2.549521e+18  6.605438e+03
33  1.100000e+04  3.358000e-02  3.358000e-02  9.942208e+07  1.024323e+08  1.451730e+17  2.354090e+18  6.606769e+03
