# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=33.5 Mm, apex_T=2.00 MK, footpoint |B|=532.3 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=524
g_si=274.0
B_outer_T=5.323000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=3.348600e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
410  1.100000e+04  5.323000e-02  5.323000e-02  3.433979e+08  3.403890e+08  2.862277e+14  2.862277e+11  1.468227e+06
411  1.100000e+04  5.323000e-02  5.323000e-02  3.403890e+08  3.373801e+08  3.022523e+14  3.022523e+11  1.390558e+06
412  1.100000e+04  5.323000e-02  5.323000e-02  3.373801e+08  3.343711e+08  3.208793e+14  3.208793e+11  1.310008e+06
413  1.100000e+04  5.323000e-02  5.323000e-02  3.343711e+08  3.313620e+08  3.425857e+14  3.425857e+11  1.227176e+06
414  1.100000e+04  5.323000e-02  5.323000e-02  3.313620e+08  3.283528e+08  3.679740e+14  3.679740e+11  1.142677e+06
415  1.100000e+04  5.323000e-02  5.323000e-02  3.283528e+08  3.253435e+08  3.978118e+14  3.978118e+11  1.057139e+06
416  1.100000e+04  5.323000e-02  5.323000e-02  3.253435e+08  3.223342e+08  4.330883e+14  4.330883e+11  9.711993e+05
417  1.100000e+04  5.323000e-02  5.323000e-02  3.223342e+08  3.193247e+08  4.750943e+14  4.750943e+11  8.854957e+05
418  1.100000e+04  5.323000e-02  5.323000e-02  3.193247e+08  3.163152e+08  5.255382e+14  5.255382e+11  8.006661e+05
419  1.100000e+04  5.323000e-02  5.323000e-02  3.163152e+08  3.133056e+08  5.867170e+14  5.867170e+11  7.173414e+05
420  1.100000e+04  5.323000e-02  5.323000e-02  3.133056e+08  3.102959e+08  6.617762e+14  6.617762e+11  6.361416e+05
421  1.100000e+04  5.323000e-02  5.323000e-02  3.102959e+08  3.072861e+08  7.551123e+14  7.551123e+11  5.576707e+05
422  1.100000e+04  5.323000e-02  5.323000e-02  3.072861e+08  3.042762e+08  8.730166e+14  8.730166e+11  4.825129e+05
423  1.100000e+04  5.323000e-02  5.323000e-02  3.042762e+08  3.012663e+08  1.024740e+15  1.024740e+12  4.112273e+05
424  1.100000e+04  5.323000e-02  5.323000e-02  3.012663e+08  2.982562e+08  1.224319e+15  1.224319e+12  3.443448e+05
425  1.100000e+04  5.323000e-02  5.323000e-02  2.982562e+08  2.952461e+08  1.493860e+15  1.493860e+12  2.823631e+05
426  1.100000e+04  5.323000e-02  5.323000e-02  2.952461e+08  2.922359e+08  1.869744e+15  1.869744e+12  2.257440e+05
427  1.100000e+04  5.323000e-02  5.323000e-02  2.922359e+08  2.892257e+08  2.415109e+15  2.415109e+12  1.749091e+05
428  1.100000e+04  5.323000e-02  5.323000e-02  2.892257e+08  2.862153e+08  3.246887e+15  3.246887e+12  1.302371e+05
429  1.100000e+04  5.323000e-02  5.323000e-02  2.862153e+08  2.832049e+08  4.599753e+15  4.599753e+12  9.206097e+04
430  1.100000e+04  5.323000e-02  5.323000e-02  2.832049e+08  2.801944e+08  6.994078e+15  6.994078e+12  6.066523e+04
431  1.100000e+04  5.323000e-02  5.323000e-02  2.801944e+08  2.771839e+08  1.172897e+16  1.172897e+13  3.628407e+04
432  1.100000e+04  5.323000e-02  5.323000e-02  2.771839e+08  2.741732e+08  2.239428e+16  2.239428e+13  1.909947e+04
433  1.100000e+04  5.323000e-02  5.323000e-02  2.741732e+08  2.711625e+08  4.673467e+16  4.673467e+13  9.239874e+03
434  1.100000e+04  5.323000e-02  5.323000e-02  2.711625e+08  2.681517e+08  4.856115e+16  3.486752e+16  6.673699e+03
435  1.100000e+04  5.323000e-02  5.323000e-02  2.681517e+08  2.651409e+08  5.034996e+16  3.722875e+16  6.671910e+03
436  1.100000e+04  5.323000e-02  5.323000e-02  2.651409e+08  2.621299e+08  5.213881e+16  3.959003e+16  6.670121e+03
437  1.100000e+04  5.323000e-02  5.323000e-02  2.621299e+08  2.591189e+08  5.392770e+16  4.195137e+16  6.668332e+03
438  1.100000e+04  5.323000e-02  5.323000e-02  2.591189e+08  2.561079e+08  5.575844e+16  4.459144e+16  6.666622e+03
439  1.100000e+04  5.323000e-02  5.323000e-02  2.561079e+08  2.530967e+08  5.771117e+16  4.804465e+16  6.665143e+03
440  1.100000e+04  5.323000e-02  5.323000e-02  2.530967e+08  2.500855e+08  5.966395e+16  5.149794e+16  6.663664e+03
441  1.100000e+04  5.323000e-02  5.323000e-02  2.500855e+08  2.470743e+08  6.161678e+16  5.495131e+16  6.662184e+03
442  1.100000e+04  5.323000e-02  5.323000e-02  2.470743e+08  2.440629e+08  6.356964e+16  5.840476e+16  6.660705e+03
443  1.100000e+04  5.323000e-02  5.323000e-02  2.440629e+08  2.410515e+08  6.568125e+16  6.303463e+16  6.659378e+03
444  1.100000e+04  5.323000e-02  5.323000e-02  2.410515e+08  2.380401e+08  6.793730e+16  6.873490e+16  6.658190e+03
445  1.100000e+04  5.323000e-02  5.323000e-02  2.380401e+08  2.350285e+08  7.019340e+16  7.443530e+16  6.657002e+03
446  1.100000e+04  5.323000e-02  5.323000e-02  2.350285e+08  2.320169e+08  7.244954e+16  8.013581e+16  6.655813e+03
447  1.100000e+04  5.323000e-02  5.323000e-02  2.320169e+08  2.290053e+08  7.470573e+16  8.583644e+16  6.654625e+03
448  1.100000e+04  5.323000e-02  5.323000e-02  2.290053e+08  2.259936e+08  7.696197e+16  9.153719e+16  6.653437e+03
449  1.100000e+04  5.323000e-02  5.323000e-02  2.259936e+08  2.229818e+08  7.921825e+16  9.723806e+16  6.652248e+03
450  1.100000e+04  5.323000e-02  5.323000e-02  2.229818e+08  2.199700e+08  8.173127e+16  1.066953e+17  6.651202e+03
451  1.100000e+04  5.323000e-02  5.323000e-02  2.199700e+08  2.169581e+08  8.431219e+16  1.171458e+17  6.650192e+03
452  1.100000e+04  5.323000e-02  5.323000e-02  2.169581e+08  2.139461e+08  8.689317e+16  1.275964e+17  6.649183e+03
453  1.100000e+04  5.323000e-02  5.323000e-02  2.139461e+08  2.109341e+08  8.947419e+16  1.380472e+17  6.648173e+03
454  1.100000e+04  5.323000e-02  5.323000e-02  2.109341e+08  2.079221e+08  9.205526e+16  1.484983e+17  6.647164e+03
455  1.100000e+04  5.323000e-02  5.323000e-02  2.079221e+08  2.049099e+08  9.463638e+16  1.589495e+17  6.646154e+03
456  1.100000e+04  5.323000e-02  5.323000e-02  2.049099e+08  2.018978e+08  9.721754e+16  1.694009e+17  6.645144e+03
457  1.100000e+04  5.323000e-02  5.323000e-02  2.018978e+08  1.988855e+08  9.979875e+16  1.798525e+17  6.644135e+03
458  1.100000e+04  5.323000e-02  5.323000e-02  1.988855e+08  1.958733e+08  1.023800e+17  1.903043e+17  6.643125e+03
459  1.100000e+04  5.323000e-02  5.323000e-02  1.958733e+08  1.928609e+08  1.049014e+17  2.108253e+17  6.642083e+03
460  1.100000e+04  5.323000e-02  5.323000e-02  1.928609e+08  1.898486e+08  1.074143e+17  2.327714e+17  6.641036e+03
461  1.100000e+04  5.323000e-02  5.323000e-02  1.898486e+08  1.868361e+08  1.099272e+17  2.547179e+17  6.639989e+03
462  1.100000e+04  5.323000e-02  5.323000e-02  1.868361e+08  1.838236e+08  1.124402e+17  2.766647e+17  6.638942e+03
463  1.100000e+04  5.323000e-02  5.323000e-02  1.838236e+08  1.808111e+08  1.149533e+17  2.986120e+17  6.637894e+03
464  1.100000e+04  5.323000e-02  5.323000e-02  1.808111e+08  1.777985e+08  1.174664e+17  3.205595e+17  6.636847e+03
465  1.100000e+04  5.323000e-02  5.323000e-02  1.777985e+08  1.747859e+08  1.199795e+17  3.425075e+17  6.635800e+03
466  1.100000e+04  5.323000e-02  5.323000e-02  1.747859e+08  1.717732e+08  1.224926e+17  3.644557e+17  6.634753e+03
467  1.100000e+04  5.323000e-02  5.323000e-02  1.717732e+08  1.687605e+08  1.250058e+17  3.864043e+17  6.633706e+03
468  1.100000e+04  5.323000e-02  5.323000e-02  1.687605e+08  1.657477e+08  1.272763e+17  4.157702e+17  6.632631e+03
469  1.100000e+04  5.323000e-02  5.323000e-02  1.657477e+08  1.627349e+08  1.290447e+17  4.604780e+17  6.631497e+03
470  1.100000e+04  5.323000e-02  5.323000e-02  1.627349e+08  1.597221e+08  1.308131e+17  5.051864e+17  6.630363e+03
471  1.100000e+04  5.323000e-02  5.323000e-02  1.597221e+08  1.567092e+08  1.325815e+17  5.498954e+17  6.629230e+03
472  1.100000e+04  5.323000e-02  5.323000e-02  1.567092e+08  1.536963e+08  1.343499e+17  5.946051e+17  6.628096e+03
473  1.100000e+04  5.323000e-02  5.323000e-02  1.536963e+08  1.506833e+08  1.361184e+17  6.393154e+17  6.626963e+03
474  1.100000e+04  5.323000e-02  5.323000e-02  1.506833e+08  1.476703e+08  1.378868e+17  6.840263e+17  6.625829e+03
475  1.100000e+04  5.323000e-02  5.323000e-02  1.476703e+08  1.446572e+08  1.396553e+17  7.287378e+17  6.624695e+03
476  1.100000e+04  5.323000e-02  5.323000e-02  1.446572e+08  1.416441e+08  1.414239e+17  7.734498e+17  6.623562e+03
477  1.100000e+04  5.323000e-02  5.323000e-02  1.416441e+08  1.386310e+08  1.423682e+17  8.449231e+17  6.622409e+03
478  1.100000e+04  5.323000e-02  5.323000e-02  1.386310e+08  1.356178e+08  1.425034e+17  9.426693e+17  6.621237e+03
479  1.100000e+04  5.323000e-02  5.323000e-02  1.356178e+08  1.326046e+08  1.426386e+17  1.040417e+18  6.620065e+03
480  1.100000e+04  5.323000e-02  5.323000e-02  1.326046e+08  1.295914e+08  1.427739e+17  1.138165e+18  6.618893e+03
481  1.100000e+04  5.323000e-02  5.323000e-02  1.295914e+08  1.265781e+08  1.429091e+17  1.235915e+18  6.617721e+03
482  1.100000e+04  5.323000e-02  5.323000e-02  1.265781e+08  1.235648e+08  1.430443e+17  1.333666e+18  6.616550e+03
483  1.100000e+04  5.323000e-02  5.323000e-02  1.235648e+08  1.205514e+08  1.431795e+17  1.431418e+18  6.615378e+03
484  1.100000e+04  5.323000e-02  5.323000e-02  1.205514e+08  1.175381e+08  1.433147e+17  1.529171e+18  6.614206e+03
485  1.100000e+04  5.323000e-02  5.323000e-02  1.175381e+08  1.145247e+08  1.434499e+17  1.626925e+18  6.613034e+03
486  1.100000e+04  5.323000e-02  5.323000e-02  1.145247e+08  1.115112e+08  1.435852e+17  1.724680e+18  6.611862e+03
487  1.100000e+04  5.323000e-02  5.323000e-02  1.115112e+08  1.084978e+08  1.437204e+17  1.822436e+18  6.610690e+03
488  1.100000e+04  5.323000e-02  5.323000e-02  1.084978e+08  1.054843e+08  1.440329e+17  1.960434e+18  6.609452e+03
489  1.100000e+04  5.323000e-02  5.323000e-02  1.054843e+08  1.024707e+08  1.445995e+17  2.156069e+18  6.608119e+03
490  1.100000e+04  5.323000e-02  5.323000e-02  1.024707e+08  9.945719e+07  1.451661e+17  2.351705e+18  6.606786e+03
491  1.100000e+04  5.323000e-02  5.323000e-02  9.945719e+07  9.644362e+07  1.457327e+17  2.547344e+18  6.605453e+03
492  1.100000e+04  5.323000e-02  5.323000e-02  9.644362e+07  9.343002e+07  1.462993e+17  2.742984e+18  6.604119e+03
493  1.100000e+04  5.323000e-02  5.323000e-02  9.343002e+07  9.041639e+07  1.468659e+17  2.938625e+18  6.602786e+03
494  1.100000e+04  5.323000e-02  5.323000e-02  9.041639e+07  8.740274e+07  1.474325e+17  3.134268e+18  6.601453e+03
495  1.100000e+04  5.323000e-02  5.323000e-02  8.740274e+07  8.438906e+07  1.479991e+17  3.329913e+18  6.600120e+03
496  1.100000e+04  5.323000e-02  5.323000e-02  8.438906e+07  8.137537e+07  1.485657e+17  3.525559e+18  6.598787e+03
497  1.100000e+04  5.323000e-02  5.323000e-02  8.137537e+07  7.836165e+07  1.503376e+17  3.783222e+18  6.596833e+03
498  1.100000e+04  5.323000e-02  5.323000e-02  7.836165e+07  7.534791e+07  1.538443e+17  4.130144e+18  6.593986e+03
499  1.100000e+04  5.323000e-02  5.323000e-02  7.534791e+07  7.233415e+07  1.573511e+17  4.477068e+18  6.591139e+03
500  1.100000e+04  5.323000e-02  5.323000e-02  7.233415e+07  6.932037e+07  1.608579e+17  4.823994e+18  6.588292e+03
501  1.100000e+04  5.323000e-02  5.323000e-02  6.932037e+07  6.630658e+07  1.643647e+17  5.170922e+18  6.585446e+03
502  1.100000e+04  5.323000e-02  5.323000e-02  6.630658e+07  6.329276e+07  1.678715e+17  5.517853e+18  6.582599e+03
503  1.100000e+04  5.323000e-02  5.323000e-02  6.329276e+07  6.027893e+07  1.713784e+17  5.864786e+18  6.579752e+03
504  1.100000e+04  5.323000e-02  5.323000e-02  6.027893e+07  5.726508e+07  1.748853e+17  6.211720e+18  6.576905e+03
505  1.100000e+04  5.323000e-02  5.323000e-02  5.726508e+07  5.425122e+07  1.784834e+17  6.720192e+18  6.571245e+03
506  1.100000e+04  5.323000e-02  5.323000e-02  5.425122e+07  5.123734e+07  1.821241e+17  7.303942e+18  6.564273e+03
507  1.100000e+04  5.323000e-02  5.323000e-02  5.123734e+07  4.822345e+07  1.857648e+17  7.887694e+18  6.557301e+03
508  1.100000e+04  5.323000e-02  5.323000e-02  4.822345e+07  4.520955e+07  1.894055e+17  8.471449e+18  6.550330e+03
509  1.100000e+04  5.323000e-02  5.323000e-02  4.520955e+07  4.219563e+07  1.930463e+17  9.055206e+18  6.543358e+03
510  1.100000e+04  5.323000e-02  5.323000e-02  4.219563e+07  3.918171e+07  1.966870e+17  9.638965e+18  6.536387e+03
511  1.100000e+04  5.323000e-02  5.323000e-02  3.918171e+07  3.616777e+07  2.001491e+17  1.028710e+19  6.527606e+03
512  1.100000e+04  5.323000e-02  5.323000e-02  3.616777e+07  3.315382e+07  2.030038e+17  1.115399e+19  6.512678e+03
513  1.100000e+04  5.323000e-02  5.323000e-02  3.315382e+07  3.013987e+07  2.058585e+17  1.202088e+19  6.497749e+03
514  1.100000e+04  5.323000e-02  5.323000e-02  3.013987e+07  2.712590e+07  2.087132e+17  1.288777e+19  6.482821e+03
515  1.100000e+04  5.323000e-02  5.323000e-02  2.712590e+07  2.411193e+07  2.102375e+17  1.387753e+19  6.464749e+03
516  1.100000e+04  5.323000e-02  5.323000e-02  2.411193e+07  2.109795e+07  2.098403e+17  1.504474e+19  6.442138e+03
517  1.100000e+04  5.323000e-02  5.323000e-02  2.109795e+07  1.808397e+07  2.094431e+17  1.621196e+19  6.419528e+03
518  1.100000e+04  5.323000e-02  5.323000e-02  1.808397e+07  1.506998e+07  2.087818e+17  1.742774e+19  6.396136e+03
519  1.100000e+04  5.323000e-02  5.323000e-02  1.506998e+07  1.205599e+07  2.064485e+17  1.895107e+19  6.367803e+03
520  1.100000e+04  5.323000e-02  5.323000e-02  1.205599e+07  9.041996e+06  2.041151e+17  2.047440e+19  6.339470e+03
521  1.100000e+04  5.323000e-02  5.323000e-02  9.041996e+06  6.027999e+06  2.014897e+17  2.205586e+19  6.310345e+03
522  1.100000e+04  5.323000e-02  5.323000e-02  6.027999e+06  3.014000e+06  1.970138e+17  2.400552e+19  6.276207e+03
523  1.100000e+04  5.323000e-02  5.323000e-02  3.014000e+06  3.309293e-06  1.925379e+17  2.595517e+19  6.242069e+03

[GHOSTS]
# tag      B_T          phi_g_Jpkg   ne_im3       nn_im3       T_K          T_e_factor
outer_0  5.323000e-02  3.309293e-06  1.925379e+17  2.595517e+19  6.242069e+03  1.000
outer_1  5.323000e-02  3.309293e-06  1.925379e+17  2.595517e+19  6.242069e+03  1.000
inner_0  5.323000e-02  0.000000e+00  1.925379e+17  2.595517e+19  6.242069e+03  1.000
inner_1  5.323000e-02  0.000000e+00  1.925379e+17  2.595517e+19  6.242069e+03  1.000
